property_id,type,city,district,address,area,rooms,price,build_year,status
1,house,Almaty,West,63 Street,156.7,0,142444928,2019,available
2,apartment,Almaty,North,56 Street,515.2,0,414798110,2019,available
3,apartment,Pavlodar,Central,195 Street,704.2,2,343257815,1993,available
4,apartment,Taraz,Medeu,155 Boulevard,811.0,5,491798851,1998,available
5,apartment,Kyzylorda,Medeu,148 Street,710.5,0,705462850,1960,sold
6,office,Kostanay,West,117 Boulevard,179.4,2,79477526,1959,available
7,apartment,Karagandy,South,119 Lane,284.5,5,232219574,1991,sold
8,house,Karagandy,Central,81 Lane,282.4,1,325315805,1990,available
9,apartment,Aktobe,South,68 Street,261.7,4,225755441,2004,sold
10,apartment,Karagandy,South,131 Lane,109.1,0,100995551,1970,sold
11,apartment,Astana,Bostandyk,98 Road,996.2,4,535434829,1951,available
12,apartment,Semey,West,197 Boulevard,129.3,3,45830100,1983,reserved
13,house,Semey,North,161 Boulevard,844.8,4,616962598,1970,available
14,house,Semey,Central,154 Boulevard,498.8,0,652584314,1989,available
15,apartment,Kyzylorda,North,22 Lane,819.7,6,543262181,2010,sold
16,apartment,Semey,Almalinsky,109 Street,930.3,6,783820548,1989,available
17,house,Taraz,Saryarka,133 Lane,138.6,1,40070310,2020,available
18,apartment,Astana,Turksib,16 Street,86.1,0,76574628,1980,available
19,apartment,Semey,South,186 Road,584.7,1,660660507,1974,available
20,house,Taraz,Bostandyk,106 Lane,866.6,0,937223571,1962,available
21,house,Astana,East,50 Street,545.6,1,337990965,1981,sold
22,apartment,Semey,North,13 Road,839.3,0,1084258979,1971,available
23,apartment,Kostanay,Central,43 Lane,22.1,3,13257620,2008,available
24,house,Semey,Turksib,184 Lane,171.7,2,70113027,2019,available
25,apartment,Almaty,Almalinsky,123 Road,921.0,4,406795988,2015,available
26,apartment,Kyzylorda,North,173 Street,415.7,4,225024252,1960,available
27,apartment,Semey,Medeu,67 Street,676.3,2,333657241,1988,available
28,office,Astana,Central,118 Road,998.5,0,323462016,1983,available
29,apartment,Astana,East,95 Boulevard,174.6,6,126860654,2017,available
30,office,Pavlodar,Turksib,27 Street,279.2,0,233059498,1986,available
31,house,Karagandy,Turksib,163 Boulevard,515.3,2,653986710,1961,available
32,office,Almaty,Central,86 Street,644.4,2,287031082,2006,available
33,apartment,Almaty,North,20 Street,554.7,6,350733695,2020,available
34,apartment,Pavlodar,Medeu,11 Boulevard,225.9,1,191461618,2021,sold
35,apartment,Kyzylorda,South,61 Street,976.7,6,432904898,1972,sold
36,apartment,Kostanay,Turksib,189 Street,281.5,6,249803618,1954,sold
37,apartment,Aktobe,Medeu,79 Street,238.5,5,105242384,1958,reserved
38,apartment,Semey,Bostandyk,174 Road,344.5,0,165287003,1972,available
39,land,Almaty,North,153 Lane,953.1,0,960520226,0,available
40,land,Astana,Bostandyk,148 Street,807.6,0,606475222,0,sold
41,apartment,Karagandy,Medeu,111 Avenue,949.9,2,871153337,1965,sold
42,apartment,Pavlodar,Turksib,105 Boulevard,414.4,2,290281758,1998,available
43,office,Kyzylorda,Almalinsky,78 Lane,557.0,0,282401682,2024,available
44,apartment,Aktobe,Saryarka,173 Street,521.0,6,647406883,1971,available
45,apartment,Kyzylorda,Medeu,24 Street,679.3,1,598594979,1955,available
46,apartment,Astana,Saryarka,107 Road,210.5,5,130440062,1968,available
47,apartment,Astana,Bostandyk,57 Street,808.0,5,507682355,1981,sold
48,apartment,Shymkent,Saryarka,171 Road,988.1,4,637674953,2006,available
49,house,Semey,Bostandyk,141 Lane,899.3,5,947743956,1981,sold
50,apartment,Semey,Saryarka,161 Street,289.1,0,243459013,1992,available
51,apartment,Shymkent,South,60 Lane,700.1,5,333096801,1992,available
52,apartment,Karagandy,Bostandyk,100 Road,947.1,0,1122167452,1998,available
53,office,Pavlodar,Bostandyk,108 Road,752.6,1,505934811,2012,available
54,apartment,Kostanay,South,120 Street,981.1,4,304654502,2022,available
55,apartment,Kostanay,South,119 Street,69.3,3,40460304,1993,sold
56,apartment,Kostanay,West,21 Lane,39.0,4,15973669,1978,available
57,house,Almaty,Central,64 Street,842.4,4,368250199,1966,available
58,apartment,Karagandy,Saryarka,180 Boulevard,771.6,1,773221941,1964,sold
59,apartment,Pavlodar,North,149 Avenue,930.3,4,1001297207,2000,sold
60,apartment,Kyzylorda,Turksib,63 Avenue,703.2,2,779180663,1965,sold
61,apartment,Almaty,Medeu,137 Lane,668.3,0,504810236,1993,available
62,apartment,Aktobe,North,111 Boulevard,642.9,6,395185645,1972,sold
63,land,Pavlodar,Almalinsky,138 Lane,1143.8,0,1237302802,0,available
64,apartment,Astana,West,116 Street,755.5,4,610586677,1953,available
65,apartment,Aktobe,East,91 Boulevard,353.5,4,299676776,1951,available
66,apartment,Karagandy,Bostandyk,126 Road,763.0,5,602932751,2007,sold
67,apartment,Karagandy,Bostandyk,178 Street,320.1,4,206669012,1994,available
68,house,Taraz,Medeu,180 Lane,285.5,2,157711216,1990,available
69,apartment,Shymkent,East,56 Lane,291.0,4,346454280,1986,reserved
70,office,Pavlodar,East,93 Street,316.2,1,205730216,2020,available
71,office,Aktobe,North,4 Road,298.7,3,181757604,1956,available
72,office,Astana,North,103 Lane,92.6,0,45456087,1988,available
73,apartment,Semey,Bostandyk,156 Road,794.9,1,755445259,2006,available
74,apartment,Kostanay,West,146 Road,79.0,5,33987752,1977,available
75,apartment,Karagandy,South,142 Avenue,173.4,3,126915812,1987,available
76,apartment,Pavlodar,Saryarka,19 Street,925.4,6,970258036,1975,available
77,apartment,Shymkent,West,37 Avenue,78.4,6,49728743,2022,sold
78,apartment,Aktobe,West,180 Lane,943.8,4,723342671,1955,sold
79,house,Kyzylorda,West,7 Avenue,244.3,5,264825462,1952,reserved
80,house,Pavlodar,Almalinsky,11 Street,481.1,5,306011932,2024,available
81,office,Astana,Saryarka,90 Lane,346.6,0,346247276,2013,available
82,office,Semey,Central,117 Avenue,328.2,2,147167867,2015,sold
83,apartment,Semey,Saryarka,106 Avenue,203.8,2,175237815,2006,sold
84,apartment,Semey,South,74 Lane,883.2,3,429892251,1980,sold
85,apartment,Almaty,Auezov,105 Avenue,240.2,6,269417181,2009,sold
86,house,Shymkent,Saryarka,184 Boulevard,518.7,2,347126284,2010,available
87,apartment,Kostanay,East,154 Road,751.4,1,737255459,2003,available
88,house,Pavlodar,Central,73 Boulevard,840.7,4,1003832420,1969,available
89,apartment,Taraz,Auezov,196 Road,389.7,2,503041963,1980,available
90,apartment,Kostanay,Central,82 Lane,711.1,6,546657569,1969,available
91,apartment,Semey,Almalinsky,85 Avenue,876.7,3,397782312,1951,sold
92,apartment,Shymkent,North,121 Boulevard,351.8,5,192546638,1992,sold
93,office,Kostanay,Medeu,161 Lane,874.9,0,669236592,1986,reserved
94,house,Kostanay,North,195 Avenue,454.8,5,210213101,1991,sold
95,apartment,Taraz,Bostandyk,38 Street,540.5,4,430615117,1972,available
96,office,Kyzylorda,Turksib,62 Lane,914.6,1,491181636,2008,available
97,apartment,Aktobe,West,174 Road,174.8,3,240379846,1988,available
98,apartment,Pavlodar,Saryarka,78 Street,999.4,6,657243000,2023,available
99,apartment,Pavlodar,Central,169 Lane,289.0,4,346404371,1956,sold
100,house,Pavlodar,East,156 Boulevard,234.6,1,215800995,1967,available
101,office,Almaty,West,113 Avenue,588.0,1,224098582,1987,available
102,apartment,Karagandy,South,139 Boulevard,540.2,2,510814783,2011,reserved
103,apartment,Taraz,North,120 Avenue,157.9,1,184815852,2000,reserved
104,office,Taraz,North,102 Avenue,279.2,0,211729311,1983,available
105,office,Taraz,North,173 Street,482.0,2,481270766,1958,available
106,apartment,Pavlodar,Turksib,105 Avenue,157.0,0,89840887,1962,available
107,apartment,Kostanay,Saryarka,95 Road,430.7,5,474202322,1962,sold
108,house,Pavlodar,Central,177 Boulevard,232.9,3,307378784,1962,reserved
109,apartment,Taraz,Central,102 Boulevard,206.0,0,268576731,1961,available
110,house,Kyzylorda,Central,13 Boulevard,258.7,1,230084190,2020,available
111,apartment,Karagandy,Medeu,199 Street,792.9,4,274285194,1968,reserved
112,apartment,Shymkent,North,170 Avenue,149.2,2,135027072,1991,available
113,apartment,Shymkent,Bostandyk,135 Avenue,750.8,3,499002962,1963,available
114,apartment,Kyzylorda,Central,187 Road,315.6,5,303767311,2011,sold
115,apartment,Astana,Saryarka,183 Lane,92.0,0,46636768,1966,available
116,house,Semey,Medeu,98 Road,539.9,3,396241397,1964,sold
117,house,Semey,East,111 Lane,890.3,3,528646319,2003,sold
118,apartment,Taraz,Turksib,66 Boulevard,954.5,5,892373424,1960,available
119,apartment,Taraz,South,143 Avenue,594.7,4,511617044,2002,available
120,house,Kostanay,Central,74 Road,326.2,0,236785461,2011,available
121,apartment,Semey,Medeu,30 Boulevard,582.6,6,409529968,2021,available
122,office,Pavlodar,Central,47 Boulevard,708.6,2,752592068,1973,sold
123,apartment,Kostanay,North,37 Avenue,109.9,4,52509196,1993,available
124,apartment,Taraz,Almalinsky,153 Avenue,885.7,1,409624817,1960,available
125,house,Aktobe,Almalinsky,114 Lane,287.7,6,205410715,1964,available
126,house,Aktobe,Auezov,171 Boulevard,64.5,3,62873920,1976,available
127,apartment,Shymkent,West,75 Boulevard,137.6,3,116434682,1998,available
128,apartment,Semey,Turksib,91 Avenue,409.1,5,111681037,1959,sold
129,apartment,Kyzylorda,Bostandyk,182 Lane,303.7,3,90024995,2008,sold
130,office,Astana,Bostandyk,28 Street,447.0,3,330510516,1989,sold
131,apartment,Shymkent,North,131 Avenue,540.0,1,565991235,1968,available
132,apartment,Karagandy,South,155 Street,765.0,5,332174693,2013,available
133,apartment,Kyzylorda,Saryarka,175 Road,650.1,4,456502976,1990,available
134,apartment,Aktobe,Turksib,78 Boulevard,599.6,2,419255181,2007,available
135,apartment,Pavlodar,North,166 Avenue,622.7,4,415211657,1955,available
136,office,Karagandy,Medeu,155 Lane,511.3,0,405574408,1993,reserved
137,apartment,Shymkent,Central,64 Lane,991.2,4,659447805,1997,sold
138,apartment,Taraz,Turksib,154 Avenue,793.4,5,444486091,2021,available
